文件名,路径,大小,类型,扩展名
FacebookSDK.strings,Frameworks/FBSDKCoreKit.framework/FacebookSDKStrings.bundle/Resources/ar.lproj/FacebookSDK.strings,5.2 KB,uncategorized,.strings
FacebookSDK.strings,Frameworks/FBSDKCoreKit.framework/FacebookSDKStrings.bundle/Resources/ja.lproj/FacebookSDK.strings,5.1 KB,uncategorized,.strings
FacebookSDK.strings,Frameworks/FBSDKCoreKit.framework/FacebookSDKStrings.bundle/Resources/vi.lproj/FacebookSDK.strings,5.0 KB,uncategorized,.strings
FacebookSDK.strings,Frameworks/FBSDKCoreKit.framework/FacebookSDKStrings.bundle/Resources/he.lproj/FacebookSDK.strings,4.9 KB,uncategorized,.strings
FacebookSDK.strings,Frameworks/FBSDKCoreKit.framework/FacebookSDKStrings.bundle/Resources/hu.lproj/FacebookSDK.strings,4.9 KB,uncategorized,.strings
FacebookSDK.strings,Frameworks/FBSDKCoreKit.framework/FacebookSDKStrings.bundle/Resources/fr.lproj/FacebookSDK.strings,4.9 KB,uncategorized,.strings
FacebookSDK.strings,Frameworks/FBSDKCoreKit.framework/FacebookSDKStrings.bundle/Resources/de.lproj/FacebookSDK.strings,4.8 KB,uncategorized,.strings
FacebookSDK.strings,Frameworks/FBSDKCoreKit.framework/FacebookSDKStrings.bundle/Resources/pt_PT.lproj/FacebookSDK.strings,4.8 KB,uncategorized,.strings
FacebookSDK.strings,Frameworks/FBSDKCoreKit.framework/FacebookSDKStrings.bundle/Resources/ko.lproj/FacebookSDK.strings,4.8 KB,uncategorized,.strings
FacebookSDK.strings,Frameworks/FBSDKCoreKit.framework/FacebookSDKStrings.bundle/Resources/fil.lproj/FacebookSDK.strings,4.8 KB,uncategorized,.strings
FacebookSDK.strings,Frameworks/FBSDKCoreKit.framework/FacebookSDKStrings.bundle/Resources/es_ES.lproj/FacebookSDK.strings,4.8 KB,uncategorized,.strings
FacebookSDK.strings,Frameworks/FBSDKCoreKit.framework/FacebookSDKStrings.bundle/Resources/sk.lproj/FacebookSDK.strings,4.8 KB,uncategorized,.strings
FacebookSDK.strings,Frameworks/FBSDKCoreKit.framework/FacebookSDKStrings.bundle/Resources/es.lproj/FacebookSDK.strings,4.8 KB,uncategorized,.strings
FacebookSDK.strings,Frameworks/FBSDKCoreKit.framework/FacebookSDKStrings.bundle/Resources/cs.lproj/FacebookSDK.strings,4.8 KB,uncategorized,.strings
FacebookSDK.strings,Frameworks/FBSDKCoreKit.framework/FacebookSDKStrings.bundle/Resources/fi.lproj/FacebookSDK.strings,4.8 KB,uncategorized,.strings
FacebookSDK.strings,Frameworks/FBSDKCoreKit.framework/FacebookSDKStrings.bundle/Resources/pl.lproj/FacebookSDK.strings,4.7 KB,uncategorized,.strings
FacebookSDK.strings,Frameworks/FBSDKCoreKit.framework/FacebookSDKStrings.bundle/Resources/pt.lproj/FacebookSDK.strings,4.7 KB,uncategorized,.strings
FacebookSDK.strings,Frameworks/FBSDKCoreKit.framework/FacebookSDKStrings.bundle/Resources/it.lproj/FacebookSDK.strings,4.7 KB,uncategorized,.strings
FacebookSDK.strings,Frameworks/FBSDKCoreKit.framework/FacebookSDKStrings.bundle/Resources/af.lproj/FacebookSDK.strings,4.7 KB,uncategorized,.strings
FacebookSDK.strings,Frameworks/FBSDKCoreKit.framework/FacebookSDKStrings.bundle/Resources/tr.lproj/FacebookSDK.strings,4.7 KB,uncategorized,.strings
FacebookSDK.strings,Frameworks/FBSDKCoreKit.framework/FacebookSDKStrings.bundle/Resources/nl.lproj/FacebookSDK.strings,4.7 KB,uncategorized,.strings
FacebookSDK.strings,Frameworks/FBSDKCoreKit.framework/FacebookSDKStrings.bundle/Resources/ms.lproj/FacebookSDK.strings,4.7 KB,uncategorized,.strings
FacebookSDK.strings,Frameworks/FBSDKCoreKit.framework/FacebookSDKStrings.bundle/Resources/da.lproj/FacebookSDK.strings,4.6 KB,uncategorized,.strings
FacebookSDK.strings,Frameworks/FBSDKCoreKit.framework/FacebookSDKStrings.bundle/Resources/hr.lproj/FacebookSDK.strings,4.6 KB,uncategorized,.strings
FacebookSDK.strings,Frameworks/FBSDKCoreKit.framework/FacebookSDKStrings.bundle/Resources/sv.lproj/FacebookSDK.strings,4.6 KB,uncategorized,.strings
FacebookSDK.strings,Frameworks/FBSDKCoreKit.framework/FacebookSDKStrings.bundle/Resources/id.lproj/FacebookSDK.strings,4.6 KB,uncategorized,.strings
FacebookSDK.strings,Frameworks/FBSDKCoreKit.framework/FacebookSDKStrings.bundle/Resources/nb.lproj/FacebookSDK.strings,4.6 KB,uncategorized,.strings
FacebookSDK.strings,Frameworks/FBSDKCoreKit.framework/FacebookSDKStrings.bundle/Resources/zh_Hant_TW.lproj/FacebookSDK.strings,4.6 KB,uncategorized,.strings
FacebookSDK.strings,Frameworks/FBSDKCoreKit.framework/FacebookSDKStrings.bundle/Resources/zh_Hant_HK.lproj/FacebookSDK.strings,4.5 KB,uncategorized,.strings
FacebookSDK.strings,Frameworks/FBSDKCoreKit.framework/FacebookSDKStrings.bundle/Resources/zh.lproj/FacebookSDK.strings,4.5 KB,uncategorized,.strings
FacebookSDK.strings,Frameworks/FBSDKCoreKit.framework/FacebookSDKStrings.bundle/Resources/en_GB.lproj/FacebookSDK.strings,4.2 KB,uncategorized,.strings
README.md,README.md,2.7 KB,uncategorized,.md
CodeResources,Frameworks/SnapKit.framework/_CodeSignature/CodeResources,2.3 KB,uncategorized,
CodeResources,Frameworks/CryptoSwift.framework/_CodeSignature/CodeResources,2.3 KB,uncategorized,
CodeResources,Frameworks/Adjust.framework/_CodeSignature/CodeResources,2.2 KB,uncategorized,
CodeResources,Frameworks/FBAEMKit.framework/_CodeSignature/CodeResources,2.0 KB,uncategorized,
CodeResources,Frameworks/FBSDKCoreKit_Basics.framework/_CodeSignature/CodeResources,2.0 KB,uncategorized,
PrivacyInfo.xcprivacy,Frameworks/Adjust.framework/Adjust.bundle/PrivacyInfo.xcprivacy,1.9 KB,uncategorized,.xcprivacy
01J-lp-oVM-view-Ze5-6b-2t3.nib,Base.lproj/LaunchScreen.storyboardc/01J-lp-oVM-view-Ze5-6b-2t3.nib,1.9 KB,uncategorized,.nib
PrivacyInfo.xcprivacy,Frameworks/FBSDKCoreKit.framework/PrivacyInfo.xcprivacy,1.9 KB,uncategorized,.xcprivacy
CodeResources,Frameworks/SDWebImage.framework/_CodeSignature/CodeResources,1.8 KB,uncategorized,
CodeResources,Frameworks/RyukieSwifty.framework/_CodeSignature/CodeResources,1.8 KB,uncategorized,
PrivacyInfo.xcprivacy,Frameworks/FBSDKCoreKit_Basics.framework/PrivacyInfo.xcprivacy,937 B,uncategorized,.xcprivacy
UIViewController-01J-lp-oVM.nib,Base.lproj/LaunchScreen.storyboardc/UIViewController-01J-lp-oVM.nib,924 B,uncategorized,.nib
PrivacyInfo.xcprivacy,Frameworks/FBAEMKit.framework/PrivacyInfo.xcprivacy,551 B,uncategorized,.xcprivacy
PrivacyInfo.xcprivacy,Frameworks/CryptoSwift.framework/CryptoSwift.bundle/PrivacyInfo.xcprivacy,373 B,uncategorized,.xcprivacy
PrivacyInfo.xcprivacy,Frameworks/SnapKit.framework/SnapKit_Privacy.bundle/PrivacyInfo.xcprivacy,373 B,uncategorized,.xcprivacy
PkgInfo,PkgInfo,8 B,uncategorized,
